step,episode_step,terminated,truncated,ball_x,ball_y,ball_rel_waist_x,ball_rel_waist_y,ball_rel_waist_z,ball_qvel_x,ball_qvel_y,ball_speed_qvel,info_ball_speed,ball_visible,termination_ball_unseen,termination_ball_out,termination_fallen,reward_total
11,11,False,False,0.7285920977592468,1.9538425207138062,1.9758286476135254,-0.017601773142814636,-0.5000903606414795,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.036620475351810455
12,12,False,False,0.7285920977592468,1.9538425207138062,1.9888534545898438,-0.0163128599524498,-0.4604020118713379,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.025393975898623466
13,13,False,False,0.7285920977592468,1.9538425207138062,1.9954639673233032,0.013542218133807182,-0.43801796436309814,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.015009715221822262
14,14,False,False,0.7285920977592468,1.9538425207138062,1.9969213008880615,0.04421467334032059,-0.43059056997299194,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.004680293146520853
15,15,False,False,0.7285920977592468,1.9538425207138062,1.994657039642334,0.07591061294078827,-0.43301382660865784,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,5.7621578889666125e-05
16,16,False,False,0.7285920977592468,1.9538425207138062,1.990809440612793,0.1146782860159874,-0.43753528594970703,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.0015357881784439087
17,17,False,False,0.7285920977592468,1.9538425207138062,1.9923381805419922,0.13726842403411865,-0.42711490392684937,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0003803914587479085
18,18,False,False,0.7285920977592468,1.9538425207138062,2.000485897064209,0.12079973518848419,-0.40334317088127136,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0013917859178036451
19,19,False,False,0.7285920977592468,1.9538425207138062,2.0071234703063965,0.07776281982660294,-0.3853108584880829,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0007747606723569334
20,20,False,False,0.7285920977592468,1.9538425207138062,2.0097053050994873,0.030659813433885574,-0.37603312730789185,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.00025190412998199463
21,21,False,False,0.7285920977592468,1.9538425207138062,2.0061233043670654,-0.00155620276927948,-0.38325971364974976,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.004148334264755249
22,22,False,False,0.7285920977592468,1.9538425207138062,1.9985765218734741,-0.036495596170425415,-0.4017665386199951,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.006524026393890381
23,23,False,False,0.7285920977592468,1.9538425207138062,1.985443115234375,-0.08569144457578659,-0.43553483486175537,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.009689629077911377
24,24,False,False,0.7285920977592468,1.9538425207138062,1.9671390056610107,-0.11112863570451736,-0.4847801625728607,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.01285746693611145
25,25,False,False,0.7285920977592468,1.9538425207138062,1.9478015899658203,-0.13181108236312866,-0.5354102849960327,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.011770278215408325
26,26,False,False,0.7285920977592468,1.9538425207138062,1.9409476518630981,-0.15724851191043854,-0.5492115020751953,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.001506209373474121
27,27,False,False,0.7285920977592468,1.9538425207138062,1.9482847452163696,-0.17213675379753113,-0.526451826095581,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0021819572430104017
28,28,False,False,0.7285920977592468,1.9538425207138062,1.9605820178985596,-0.1763535887002945,-0.49119916558265686,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.003080812282860279
29,29,False,False,0.7285920977592468,1.9538425207138062,1.9699995517730713,-0.1794690191745758,-0.4618834853172302,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.002763563534244895
30,30,False,False,0.7285920977592468,1.9538425207138062,1.97514009475708,-0.16116681694984436,-0.45227980613708496,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0014652517857030034
31,31,False,False,0.7285920977592468,1.9538425207138062,1.9697378873825073,-0.16053029894828796,-0.47046959400177,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.0013043731451034546
32,32,False,False,0.7285920977592468,1.9538425207138062,1.9643701314926147,-0.1384357511997223,-0.4927699863910675,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,-0.0031234323978424072
