step,episode_step,terminated,truncated,ball_x,ball_y,ball_rel_waist_x,ball_rel_waist_y,ball_rel_waist_z,ball_qvel_x,ball_qvel_y,ball_speed_qvel,info_ball_speed,ball_visible,termination_ball_unseen,termination_ball_out,termination_fallen,reward_total
21,21,False,False,0.7285527586936951,1.95388662815094,1.9672789573669434,-0.20748263597488403,-0.4858543276786804,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0012343788985162973
22,22,False,False,0.7285527586936951,1.95388662815094,1.9598339796066284,-0.23875415325164795,-0.48916295170783997,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0006991953123360872
23,23,False,False,0.7285527586936951,1.95388662815094,1.949311375617981,-0.26091909408569336,-0.5033786296844482,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0004038304032292217
24,24,False,False,0.7285527586936951,1.95388662815094,1.9377412796020508,-0.2701435685157776,-0.5250283479690552,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0003789658658206463
25,25,False,False,0.7285527586936951,1.95388662815094,1.9303025007247925,-0.26609131693840027,-0.5404096245765686,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0010148226283490658
26,26,False,False,0.7285527586936951,1.95388662815094,1.9325281381607056,-0.2485906481742859,-0.5346335768699646,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0021926274057477713
27,27,False,False,0.7285527586936951,1.95388662815094,1.9427822828292847,-0.22082078456878662,-0.5089522004127502,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.003119276138022542
28,28,False,False,0.7285527586936951,1.95388662815094,1.9566575288772583,-0.17953255772590637,-0.47310763597488403,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.003449170384556055
29,29,False,False,0.7285527586936951,1.95388662815094,1.9676952362060547,-0.1325874924659729,-0.44127339124679565,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.003214819822460413
30,30,False,False,0.7285527586936951,1.95388662815094,1.9734317064285278,-0.08912823349237442,-0.4202995300292969,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0026991197373718023
31,31,False,False,0.7285527586936951,1.95388662815094,1.97403883934021,-0.05498846247792244,-0.4117453694343567,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0021867144387215376
32,32,False,False,0.7285527586936951,1.95388662815094,1.9709805250167847,-0.03119589202105999,-0.4132973551750183,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0019526176620274782
