step,ball_x,ball_y,ball_vx,ball_vy,ball_speed,root_height,fell
25,0.19948203224628827,-0.0012106874531295718,0.1277422823768849,-0.007077814290889072,0.1279382122823049,0.6243059240771318,0.0
26,0.20203675601920204,-0.0013522438621971153,0.1277325400792396,-0.007077824411685908,0.1279284854655022,0.6241435297994591,0.0
27,0.2045912856781119,-0.0014938004969451677,0.12772285532713562,-0.007077836315284726,0.1279188162070865,0.6239865823453586,0.0
28,0.2071456222617908,-0.0016353573847097606,0.12771321889842863,-0.007077849325672671,0.1279091952616186,0.6238347853183548,0.0
29,0.20969976660646314,-0.0017769145386538844,0.12770362027882037,-0.007077862723290387,0.12789961209107276,0.623687386776788,0.0
30,0.21225371933088713,-0.0019184719575046816,0.12769404843193274,-0.00707787578794347,0.1278900556361062,0.6235434722152997,0.0
31,0.21480748082976486,-0.002060029625757747,0.12768449207702168,-0.007077887814469791,0.12788051459421498,0.6234020281339497,0.0
32,0.2173610512706546,-0.0022015875140798976,0.12767493982435993,-0.007077898120415376,0.1278709775553347,0.6232619187368647,0.0
33,0.21991443059301427,-0.002343145579831682,0.1276653802706754,-0.007077906051350642,0.1278614330974274,0.6231218863253303,0.0
34,0.22246761850899305,-0.002484703767685382,0.12765580208349855,-0.0070779109854141676,0.12785186987095185,0.6229806203329652,0.0
35,0.22502061450586275,-0.002626262010329248,0.12764619408212188,-0.007077912337508302,0.1278422766799316,0.6228368824374837,0.0
36,0.2275734178500471,-0.002767820229252479,0.12763654531695767,-0.007077909563246176,0.12783264256141028,0.6226896456202148,0.0
37,0.2301260275927206,-0.0029093783356061885,0.12762684514747072,-0.007077902162661924,0.12782295686347067,0.6225382037218947,0.0
38,0.23267844257694592,-0.003050936231135512,0.12761708331843832,-0.007077889683673444,0.12781320932157006,0.6223822243321508,0.0
39,0.23523066144631127,-0.0031924938091777,0.1276072500341883,-0.007077871725282103,0.12780339013284192,0.6222217390317817,0.0
40,0.23778268265502372,-0.0033340509557207455,0.1275973360304445,-0.007077847940493606,0.1277934900279937,0.622057081902786,0.0
41,0.24033450447940533,-0.003475607550516782,0.12758733264341707,-0.00707781803894527,0.12778350034043667,0.6218887959800695,0.0
42,0.24288612503073254,-0.003617163468244208,0.12757723187578388,-0.007077781789226328,0.1277734130722954,0.6217175284412767,0.0
43,0.24543754226935316,-0.003758718579712252,0.12756702645922643,-0.007077739020879459,0.12776322095695872,0.6215439315480593,0.0
44,0.24798875402000714,-0.0039002727531014707,0.12755670991319987,-0.007077689626073364,0.1277529175178526,0.6213685806693829,0.0
45,0.25053975798827216,-0.004041825855233489,0.12754627659963508,-0.007077633560937867,0.12774249712313257,0.62119191527494,0.0
46,0.2530905517780499,-0.0041833777528631514,0.12753572177329253,-0.0070775708465548055,0.1277319550360155,0.6210142045728226,0.0
47,0.25564113291000146,-0.0043249283139861336,0.12752504162750808,-0.007077501569599676,0.1277212874604909,0.6208355365886127,0.0
48,0.25819149884083825,-0.004466477409154978,0.1275142333350956,-0.007077425882630897,0.12771049158217715,0.6206558276291695,0.0
49,0.2607416469833677,-0.004608024912796507,0.1275032950841949,-0.007077344004025278,0.12769956560411078,0.6204748478861198,0.0
50,0.2632915747271904,-0.004749570704523514,0.12749222610888,-0.007077256217560186,0.12768850877728496,0.6202922581995632,0.0
